Sprint	Sprint Planning	Sprint Start Date	Dev Done Date	Sprit End Date	Deployment	FixVersion	Note
2.55	Friday, 22 November, 2024	Monday, 25 November, 2024	Wednesday, 27 November, 2024	-	Monday, 2 December, 2024	3.97	
2.55	Friday, 29 November, 2024	Monday, 2 December, 2024	Wednesday, 4 December, 2024	-	Monday, 9 December, 2024	3.98	
2.55	Friday, 6 December, 2024	Monday, 9 December, 2024	Wednesday, 11 December, 2024	-	Monday, 16 December, 2024	3.99	
2.55	Friday, 8 November, 2024	Monday, 18 November, 2024	Friday, 13 December, 2024	Friday, 13 December, 2024	Monday, 23 December, 2024	4.00	
2.56	Friday, 13 December, 2024	Monday, 16 December, 2024	Wednesday, 18 December, 2024	-	Monday, 23 December, 2024	4.00	
2.56	Friday, 20 December, 2024	Monday, 23 December, 2024	Wednesday, 25 December, 2024	-	Monday, 30 December, 2024	4.01	
2.56	Friday, 27 December, 2024	Monday, 30 December, 2024	Wednesday, 1 January, 2025	-	Monday, 6 January, 2025	4.02	
2.56	Friday, 3 January, 2025	Monday, 6 January, 2025	Wednesday, 8 January, 2025	-	Monday, 13 January, 2025	4.03	
2.56	Friday, 6 December, 2024	Monday, 16 December, 2024	Friday, 10 January, 2025	Friday, 10 January, 2025	Monday, 20 January, 2025	4.04	
2.57	Friday, 10 January, 2025	Monday, 13 January, 2025	Wednesday, 15 January, 2025	-	Monday, 20 January, 2025	4.04	
2.57	Friday, 17 January, 2025	Monday, 20 January, 2025	Wednesday, 22 January, 2025	-	Monday, 27 January, 2025	4.05	
2.57	Friday, 24 January, 2025	Monday, 27 January, 2025	Wednesday, 29 January, 2025	-	Monday, 3 February, 2025	4.06	
2.57	Friday, 31 January, 2025	Monday, 3 February, 2025	Wednesday, 5 February, 2025	-	Monday, 10 February, 2025	4.07	
2.57	Friday, 3 January, 2025	Monday, 13 January, 2025	Friday, 7 February, 2025	Friday, 7 February, 2025	Monday, 17 February, 2025	4.08	
2.58	Friday, 14 February, 2025	Monday, 17 February, 2025	Wednesday, 19 February, 2025	-	Monday, 24 February, 2025	4.08-performance	Everything onwards is moved by one week from here; giving entire week for performance related tickets
2.58	Friday, 21 February, 2025	Monday, 24 February, 2025	Wednesday, 26 February, 2025	-	Monday, 3 March, 2025	4.09	
2.58	Friday, 28 February, 2025	Monday, 3 March, 2025	Wednesday, 5 March, 2025	-	Monday, 10 March, 2025	4.10	
2.58	Friday, 7 March, 2025	Monday, 10 March, 2025	Wednesday, 12 March, 2025	-	Monday, 17 March, 2025	4.11	
2.58	Friday, 7 February, 2025	Monday, 17 February, 2025	Friday, 14 March, 2025	Friday, 14 March, 2025	Monday, 24 March, 2025	4.12	
2.59	Friday, 14 March, 2025	Monday, 17 March, 2025	Wednesday, 19 March, 2025	-	Monday, 24 March, 2025	4.12	
2.59	Friday, 21 March, 2025	Monday, 24 March, 2025	Wednesday, 26 March, 2025	-	Monday, 31 March, 2025	4.13	
2.59	Friday, 28 March, 2025	Monday, 31 March, 2025	Wednesday, 2 April, 2025	-	Monday, 7 April, 2025	4.14	
2.59	Friday, 4 April, 2025	Monday, 7 April, 2025	Wednesday, 9 April, 2025	-	Monday, 14 April, 2025	4.15	
2.59	Friday, 14 March, 2025	Monday, 24 March, 2025	Friday, 18 April, 2025	Friday, 18 April, 2025	Monday, 28 April, 2025	4.16	Increased by 1 week due to performance, 4.12 extension
2.60	Friday, 18 April, 2025	Monday, 21 April, 2025	Wednesday, 23 April, 2025	-	Monday, 28 April, 2025	4.16	
2.60	Friday, 25 April, 2025	Monday, 28 April, 2025	Wednesday, 30 April, 2025	-	Monday, 5 May, 2025	4.17	
2.60	Friday, 2 May, 2025	Monday, 5 May, 2025	Wednesday, 7 May, 2025	-	Monday, 12 May, 2025	4.18	
2.60	Friday, 9 May, 2025	Monday, 12 May, 2025	Wednesday, 14 May, 2025	-	Monday, 19 May, 2025	4.19	
2.60	Friday, 11 April, 2025	Monday, 21 April, 2025	Friday, 16 May, 2025	Friday, 16 May, 2025	Monday, 26 May, 2025	4.20	
2.61	Friday, 16 May, 2025	Monday, 19 May, 2025	Wednesday, 21 May, 2025	-	Monday, 26 May, 2025	4.20	
2.61	Friday, 23 May, 2025	Monday, 26 May, 2025	Wednesday, 28 May, 2025	-	Monday, 2 June, 2025	4.21	
2.61	Friday, 30 May, 2025	Monday, 2 June, 2025	Wednesday, 4 June, 2025	-	Monday, 9 June, 2025	4.22	
2.61	Friday, 6 June, 2025	Monday, 9 June, 2025	Wednesday, 11 June, 2025	-	Monday, 16 June, 2025	4.23	
2.61	Friday, 9 May, 2025	Monday, 19 May, 2025	Friday, 13 June, 2025	Friday, 13 June, 2025	Monday, 23 June, 2025	4.24	
2.62	Friday, 13 June, 2025	Monday, 16 June, 2025	Wednesday, 18 June, 2025	-	Monday, 23 June, 2025	4.24	
2.62	Friday, 20 June, 2025	Monday, 23 June, 2025	Wednesday, 25 June, 2025	-	Monday, 30 June, 2025	4.25	
2.62	Friday, 27 June, 2025	Monday, 30 June, 2025	Wednesday, 2 July, 2025	-	Monday, 7 July, 2025	4.26	
2.62	Friday, 4 July, 2025	Monday, 7 July, 2025	Wednesday, 9 July, 2025	-	Monday, 14 July, 2025	4.27	
2.62	Friday, 6 June, 2025	Monday, 16 June, 2025	Friday, 11 July, 2025	Friday, 11 July, 2025	Monday, 21 July, 2025	4.28	
2.63	Friday, 11 July, 2025	Monday, 14 July, 2025	Wednesday, 16 July, 2025	-	Monday, 21 July, 2025	4.28	
2.63	Friday, 18 July, 2025	Monday, 21 July, 2025	Wednesday, 23 July, 2025	-	Monday, 28 July, 2025	4.29	
2.63	Friday, 25 July, 2025	Monday, 28 July, 2025	Wednesday, 30 July, 2025	-	Monday, 4 August, 2025	4.30	
2.63	Friday, 1 August, 2025	Monday, 4 August, 2025	Wednesday, 6 August, 2025	-	Monday, 11 August, 2025	4.31	
2.63	Friday, 4 July, 2025	Monday, 14 July, 2025	Friday, 8 August, 2025	Friday, 8 August, 2025	Monday, 18 August, 2025	4.32	
2.64	Friday, 8 August, 2025	Monday, 11 August, 2025	Wednesday, 13 August, 2025	-	Monday, 18 August, 2025	4.32	
2.64	Friday, 15 August, 2025	Monday, 18 August, 2025	Wednesday, 20 August, 2025	-	Monday, 25 August, 2025	4.33	
2.64	Friday, 22 August, 2025	Monday, 25 August, 2025	Wednesday, 27 August, 2025	-	Monday, 1 September, 2025	4.34	
2.64	Friday, 29 August, 2025	Monday, 1 September, 2025	Wednesday, 3 September, 2025	-	Monday, 8 September, 2025	4.35	
2.64	Friday, 1 August, 2025	Monday, 11 August, 2025	Friday, 5 September, 2025	Friday, 5 September, 2025	Monday, 15 September, 2025	4.36	
2.65	Friday, 5 September, 2025	Monday, 8 September, 2025	Wednesday, 10 September, 2025	-	Monday, 15 September, 2025	4.36	
2.65	Friday, 12 September, 2025	Monday, 15 September, 2025	Wednesday, 17 September, 2025	-	Monday, 22 September, 2025	4.37	
2.65	Friday, 19 September, 2025	Monday, 22 September, 2025	Wednesday, 24 September, 2025	-	Monday, 29 September, 2025	4.38	
2.65	Friday, 26 September, 2025	Monday, 29 September, 2025	Wednesday, 1 October, 2025	-	Monday, 6 October, 2025	4.39	
2.65	Friday, 29 August, 2025	Monday, 8 September, 2025	Friday, 3 October, 2025	Friday, 3 October, 2025	Monday, 13 October, 2025	4.40	
2.66	Friday, 3 October, 2025	Monday, 6 October, 2025	Wednesday, 8 October, 2025	-	Monday, 13 October, 2025	4.40	
2.66	Friday, 10 October, 2025	Monday, 13 October, 2025	Wednesday, 15 October, 2025	-	Monday, 20 October, 2025	4.41	
2.66	Friday, 17 October, 2025	Monday, 20 October, 2025	Wednesday, 22 October, 2025	-	Monday, 27 October, 2025	4.42	
2.66	Friday, 24 October, 2025	Monday, 27 October, 2025	Wednesday, 29 October, 2025	-	Monday, 3 November, 2025	4.43	
2.66	Friday, 26 September, 2025	Monday, 6 October, 2025	Friday, 31 October, 2025	Friday, 31 October, 2025	Monday, 10 November, 2025	4.44	
2.67	Friday, 31 October, 2025	Monday, 3 November, 2025	Wednesday, 5 November, 2025	-	Monday, 10 November, 2025	4.44	
2.67	Friday, 7 November, 2025	Monday, 10 November, 2025	Wednesday, 12 November, 2025	-	Monday, 17 November, 2025	4.45	
2.67	Friday, 14 November, 2025	Monday, 17 November, 2025	Wednesday, 19 November, 2025	-	Monday, 24 November, 2025	4.46	
2.67	Friday, 21 November, 2025	Monday, 24 November, 2025	Wednesday, 26 November, 2025	-	Monday, 1 December, 2025	4.47	
2.67	Friday, 24 October, 2025	Monday, 3 November, 2025	Friday, 28 November, 2025	Friday, 28 November, 2025	Monday, 8 December, 2025	4.48	
2.68	Friday, 28 November, 2025	Monday, 1 December, 2025	Wednesday, 3 December, 2025	-	Monday, 8 December, 2025	4.48	
2.68	Friday, 5 December, 2025	Monday, 8 December, 2025	Wednesday, 10 December, 2025	-	Monday, 15 December, 2025	4.49	
2.68	Friday, 12 December, 2025	Monday, 15 December, 2025	Wednesday, 17 December, 2025	-	Monday, 22 December, 2025	4.50	
2.68	Friday, 19 December, 2025	Monday, 22 December, 2025	Wednesday, 24 December, 2025	-	Monday, 29 December, 2025	4.51	
2.68	Friday, 21 November, 2025	Monday, 1 December, 2025	Friday, 26 December, 2025	Friday, 26 December, 2025	Monday, 5 January, 2026	4.52	
2.69	Friday, 26 December, 2025	Monday, 29 December, 2025	Wednesday, 31 December, 2025	-	Monday, 5 January, 2026	4.52	
2.69	Friday, 9 January, 2026	Monday, 12 January, 2026	Wednesday, 14 January, 2026	-	Monday, 19 January, 2026	5.1	Increased by 1 week due to backlogs upto 5.1 For Client it will live +2 days from deployment date
2.69	Friday, 16 January, 2026	Monday, 19 January, 2026	Wednesday, 21 January, 2026	-	Monday, 26 January, 2026	5.2	
2.69	Friday, 23 January, 2026	Monday, 26 January, 2026	Wednesday, 28 January, 2026	-	Monday, 2 February, 2026	5.3	
2.69	Friday, 26 December, 2025	Monday, 5 January, 2026	Friday, 30 January, 2026	Friday, 30 January, 2026	Monday, 9 February, 2026	6.0	Fix Version 5.4 change to major Fix Version 6
2.7	Friday, 30 January, 2026	Monday, 2 February, 2026	Wednesday, 4 February, 2026	-	Monday, 9 February, 2026	6.0	
2.7	Friday, 6 February, 2026	Monday, 9 February, 2026	Wednesday, 11 February, 2026	-	Monday, 16 February, 2026	6.1	
2.7	Friday, 13 February, 2026	Monday, 16 February, 2026	Wednesday, 18 February, 2026	-	Monday, 23 February, 2026	6.2	
2.7	Friday, 20 February, 2026	Monday, 23 February, 2026	Wednesday, 25 February, 2026	-	Monday, 2 March, 2026	6.3	
2.7	Friday, 23 January, 2026	Monday, 2 February, 2026	Friday, 27 February, 2026	Friday, 27 February, 2026	Monday, 9 March, 2026	7.0	Fix Version 6.4 change to major Fix Version7
2.71	Friday, 27 February, 2026	Monday, 2 March, 2026	Wednesday, 4 March, 2026	-	Monday, 9 March, 2026	7.0	
2.71	Friday, 6 March, 2026	Monday, 9 March, 2026	Wednesday, 11 March, 2026	-	Monday, 16 March, 2026	7.1	
2.71	Friday, 13 March, 2026	Monday, 16 March, 2026	Wednesday, 18 March, 2026	-	Monday, 23 March, 2026	7.2	
2.71	Friday, 20 March, 2026	Monday, 23 March, 2026	Wednesday, 25 March, 2026	-	Monday, 30 March, 2026	7.3	
2.71	Friday, 20 February, 2026	Monday, 2 March, 2026	Friday, 27 March, 2026	Friday, 27 March, 2026	Monday, 6 April, 2026	8.0	
2.72	Friday, 27 March, 2026	Monday, 30 March, 2026	Wednesday, 1 April, 2026	-	Monday, 6 April, 2026	8.0	
2.72	Friday, 3 April, 2026	Monday, 6 April, 2026	Wednesday, 8 April, 2026	-	Monday, 13 April, 2026	8.1	
2.72	Friday, 10 April, 2026	Monday, 13 April, 2026	Wednesday, 15 April, 2026	-	Monday, 20 April, 2026	8.2	
2.72	Friday, 17 April, 2026	Monday, 20 April, 2026	Wednesday, 22 April, 2026	-	Monday, 27 April, 2026	8.3	
2.72	Friday, 24 April, 2026	Monday, 27 April, 2026	Wednesday, 29 April, 2026	-	Monday, 4 May, 2026	9.0	
